=================
Siretta Limited
=================
GRAPHYTE Network Survey Results
www.siretta.com
+44 1189 769 000
Survey Type, 4G
File Created,24/03/23 13:32:11
IMEI Number,'351626102376784
Hardware Version,'GRAPHYTE LTE V2 (EU)
Application Version,'6.10.19
Firmware Version,'M0F.670010
Filename,'L3241330.csv
Timestamp,'0
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
1,24/03/23 13:32:11,4G,1,524,-34,88,67,208,01,20025090,24672,1,2100 MHz,-,-,-,-,345,-73,-20.0,15,2162.400,1972.400,Orange,||||||||||||||||||||||
1,24/03/23 13:32:11,4G,2,1300,-36,85,65,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-76,-20.0,20,1815.0,1720.0,Orange,||||||||||||||||||||||
1,24/03/23 13:32:11,4G,3,6400,-52,64,49,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-89,-20.0,10,816.0,857.0,Orange,||||||||||||||||
1,24/03/23 13:32:11,4G,4,9310,-54,61,47,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-91,-20.0,10,768.0,713.0,Orange,||||||||||||||||
1,24/03/23 13:32:11,4G,5,3000,-68,43,33,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-100,-11.0,20,2645.0,2525.0,Orange,|||||||||||
1,24/03/23 13:32:11,4G,6,9385,-71,39,30,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-105,-20.0,5,775.500,720.500,Bouygues,||||||||||
1,24/03/23 13:32:11,4G,7,3175,-77,31,24,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-116,-20.0,15,2662.500,2542.500,Bouygues,||||||||
1,24/03/23 13:32:11,4G,8,6300,-80,27,21,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-106,-9.0,10,806.0,847.0,SFR,|||||||
1,24/03/23 13:32:11,4G,9,227,-82,25,19,208,20,136439061,30125,1,2100 MHz,-,-,-,-,84,-121,-20.0,15,2132.700,1942.700,Bouygues,|||||||
1,24/03/23 13:32:11,4G,10,9460,-95,7,6,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-119,-7.0,10,783.0,728.0,Free,||
1,24/03/23 13:32:11,4G,11,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
1,24/03/23 13:32:11,4G,12,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
2,24/03/23 13:33:29,4G,1,524,-29,94,72,208,01,20025090,24672,1,2100 MHz,-,-,-,-,345,-68,-20.0,15,2162.400,1972.400,Orange,||||||||||||||||||||||||
2,24/03/23 13:33:29,4G,2,1300,-37,84,64,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-77,-20.0,20,1815.0,1720.0,Orange,|||||||||||||||||||||
2,24/03/23 13:33:29,4G,3,6400,-53,63,48,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-90,-20.0,10,816.0,857.0,Orange,||||||||||||||||
2,24/03/23 13:33:29,4G,4,9310,-56,59,45,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-93,-20.0,10,768.0,713.0,Orange,|||||||||||||||
2,24/03/23 13:33:29,4G,13,6200,-67,44,34,208,20,136422919,30125,20,800 MHz,-,-,-,-,438,-104,-20.0,10,796.0,837.0,Bouygues,|||||||||||
2,24/03/23 13:33:29,4G,5,3000,-71,39,30,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-101,-10.0,20,2645.0,2525.0,Orange,||||||||||
2,24/03/23 13:33:29,4G,6,9385,-71,39,30,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-105,-20.0,5,775.500,720.500,Bouygues,||||||||||
2,24/03/23 13:33:29,4G,8,6300,-78,30,23,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-106,-11.0,10,806.0,847.0,SFR,||||||||
2,24/03/23 13:33:29,4G,14,227,-81,26,20,208,20,136408854,30127,1,2100 MHz,-,-,-,-,130,-120,-20.0,15,2132.700,1942.700,Bouygues,|||||||
2,24/03/23 13:33:29,4G,7,3175,-99,2,2,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-121,-3.0,15,2662.500,2542.500,Bouygues,|
2,24/03/23 13:33:29,4G,10,9460,-82,25,19,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-119,-20.0,10,783.0,728.0,Free,|||||||
2,24/03/23 13:33:29,4G,11,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
2,24/03/23 13:33:29,4G,12,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
3,24/03/23 13:34:47,4G,2,1300,-49,68,52,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-75,-7.0,20,1815.0,1720.0,Orange,|||||||||||||||||
3,24/03/23 13:34:47,4G,3,6400,-52,64,49,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-89,-20.0,10,816.0,857.0,Orange,||||||||||||||||
3,24/03/23 13:34:47,4G,4,9310,-55,60,46,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-92,-20.0,10,768.0,713.0,Orange,|||||||||||||||
3,24/03/23 13:34:47,4G,5,3000,-60,53,41,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-100,-20.0,20,2645.0,2525.0,Orange,||||||||||||||
3,24/03/23 13:34:47,4G,13,6200,-67,44,34,208,20,136422919,30125,20,800 MHz,-,-,-,-,438,-104,-20.0,10,796.0,837.0,Bouygues,|||||||||||
3,24/03/23 13:34:47,4G,6,9385,-71,39,30,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-105,-20.0,5,775.500,720.500,Bouygues,||||||||||
3,24/03/23 13:34:47,4G,8,6300,-70,40,31,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-104,-17.0,10,806.0,847.0,SFR,||||||||||
3,24/03/23 13:34:47,4G,9,227,-83,23,18,208,20,136439061,30125,1,2100 MHz,-,-,-,-,84,-122,-20.0,15,2132.700,1942.700,Bouygues,||||||
3,24/03/23 13:34:47,4G,14,227,-85,21,16,208,20,136408854,30127,1,2100 MHz,-,-,-,-,130,-124,-20.0,15,2132.700,1942.700,Bouygues,||||||
3,24/03/23 13:34:47,4G,7,3175,-82,25,19,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-121,-20.0,15,2662.500,2542.500,Bouygues,|||||||
3,24/03/23 13:34:47,4G,11,9235,-106,0,0,208,10,160024601,49922,28,700 MHz,-,-,-,-,436,-140,-20.0,5,760.500,705.500,SFR,
3,24/03/23 13:34:47,4G,12,9235,-106,0,0,208,10,160028440,49922,28,700 MHz,-,-,-,-,137,-140,-20.0,5,760.500,705.500,SFR,
Survey:,Timestamp:,Network:,Index:,xRFCN:,dBm:,%:,RSSI:,MCC:,MNC:,CellID:,LAC/TAC:,Band Num:,Band:,BSIC:,SCR:,ECIO:,RSCP:,PCI:,RSRP:,RSRQ:,BW:,DL:,UL:,Net Name:,Signal:
4,24/03/23 13:36:03,4G,2,1300,-48,69,53,208,01,20025089,24672,3,1800 MHz,-,-,-,-,102,-77,-8.0,20,1815.0,1720.0,Orange,||||||||||||||||||
4,24/03/23 13:36:03,4G,3,6400,-54,61,47,208,01,20166167,24674,20,800 MHz,-,-,-,-,322,-91,-20.0,10,816.0,857.0,Orange,||||||||||||||||
4,24/03/23 13:36:03,4G,4,9310,-56,59,45,208,01,20166164,24674,28,700 MHz,-,-,-,-,349,-93,-20.0,10,768.0,713.0,Orange,|||||||||||||||
4,24/03/23 13:36:03,4G,5,3000,-59,55,42,208,01,19772943,24674,7,2600 MHz,-,-,-,-,391,-99,-20.0,20,2645.0,2525.0,Orange,||||||||||||||
4,24/03/23 13:36:03,4G,6,9385,-72,38,29,208,20,136422931,30125,28,700 MHz,-,-,-,-,438,-106,-20.0,5,775.500,720.500,Bouygues,||||||||||
4,24/03/23 13:36:03,4G,8,6300,-68,43,33,208,10,160024583,49922,20,800 MHz,-,-,-,-,436,-105,-20.0,10,806.0,847.0,SFR,|||||||||||
4,24/03/23 13:36:03,4G,14,227,-83,23,18,208,20,136408854,30127,1,2100 MHz,-,-,-,-,130,-122,-20.0,15,2132.700,1942.700,Bouygues,||||||
4,24/03/23 13:36:03,4G,7,3175,-77,31,24,208,20,136422916,30125,7,2600 MHz,-,-,-,-,438,-116,-20.0,15,2662.500,2542.500,Bouygues,||||||||
4,24/03/23 13:36:03,4G,10,9460,-83,23,18,208,15,103133767,3105,28,700 MHz,-,-,-,-,145,-120,-20.0,10,783.0,728.0,Free,||||||
